These data were taken from the�NASA Exoplanet Archive.
Name      Orbital PePlanet MasPlanet MasSemi-majorEccentriciStellar MaDiscovery Discovery
HAT-P-54 b     3.800    0.760        242   0.0412     0.074      0.65 Transit   Bakos et a
HD 103720      4.556    0.620        197   0.0498     0.086      0.79 Radial VelMoutou et
Kepler-447     7.794     1.370       435   0.0769     0.123      1.00 Transit   Lillo-Box
HAT-P-55 b     3.585    0.582        185   0.0460     0.139      1.01 Transit   Juncher et
CoRoT-29 b     2.851    0.850        270   0.0386     0.082      0.97 Transit   Cabrera et
CoRoT-28 b     5.209    0.484        154   0.0603     0.047      1.01 Transit   Cabrera et
WASP-89 b      3.356     5.900      1875   0.0427     0.193      0.92 Transit   Hellier et
HATS-10 b      3.313    0.526        167   0.0449     0.501      1.10 Transit   Brahm et a
HATS-13 b      3.044    0.543        173   0.0406     0.181      0.96 Transit   Mancini et
HATS-14 b      2.767     1.071       340   0.0382     0.142      0.97 Transit   Mancini et
HATS-8 b       3.584    0.138         44   0.0467     0.376      1.06 Transit   Bayliss et
HAT-P-53 b     1.962     1.484       472   0.0316     0.134      1.09 Transit   Hartman et
HAT-P-52 b     2.754    0.818        260   0.0369     0.047      0.89 Transit   Hartman et
HAT-P-50 b     3.122     1.350       429   0.0453     0.115      1.27 Transit   Hartman et
HAT-P-51 b     4.218    0.309         98   0.0507     0.123      0.98 Transit   Hartman et
WASP-120 b     3.611     4.850      1541   0.0514     0.057      1.39 Transit   Turner et
HATS-15 b      1.747     2.170       690   0.0271     0.126      0.87 Transit   Ciceri et
HATS-34 b      2.106    0.941        299   0.0317     0.108      0.95 Transit   de Val-Bor
HATS-35 b      1.821     1.222       388   0.0320     0.306      1.32 Transit   de Val-Bor
HATS-31 b      3.378    0.880        280   0.0478     0.233      1.27 Transit   de Val-Bor
HATS-32 b      2.813    0.920        292   0.0402     0.471      1.10 Transit   de Val-Bor
HATS-33 b      2.550     1.192       379   0.0373     0.080      1.06 Transit   de Val-Bor
WASP-53 b      3.310     2.132       678   0.0410     0.030      0.84 Transit   Triaud et
WASP-81 b      2.716    0.729        232   0.0391     0.066      1.08 Transit   Triaud et
HD 2685 b      4.127     1.170       372   0.0568     0.091      1.43 Transit   Jones et a
HD 143105      2.197     1.210       385   0.0379     0.070      1.51 Radial VelHébrard e
WASP-119 b     2.500     1.230       391   0.0363     0.058      1.02 Transit   Maxted et
WASP-124 b     3.373    0.600        191   0.0449     0.017      1.07 Transit   Maxted et
WASP-126 b     3.289    0.280         89   0.0449     0.180      1.12 Transit   Maxted et
WASP-129 b     5.748     1.000       318   0.0628     0.096      1.00 Transit   Maxted et
