These data were taken from the�NASA Exoplanet Archive.									
Name	Orbital Period (days)	Planet Mass (Jupiter masses)	Planet Mass (Earth masses)	Semi-major Axis (AU)	Eccentricity	Stellar Mass (Solar masses)	Discovery Method	Discovery Paper	
HD 185269 b	6.838	1.010	321	0.0770	0.229	1.30	Radial Velocity	Johnson et al. 2006	
HAT-P-2 b	5.634	8.620	2740	0.0681	0.517	1.33	Transit	Bakos et al. 2007	
CoRoT-2 b	1.743	3.470	1103	0.0280	0.014	0.96	Transit	Alonso et al. 2008	
WASP-5 b	1.628	1.580	502	0.0267	0.038	0.96	Transit	Anderson et al. 2008	
HAT-P-9 b	3.923	0.749	238	0.0529	0.084	1.28	Transit	Shporer et al. 2009	
CoRoT-5 b	4.038	0.467	148	0.0495	0.090	1.00	Transit	Rauer et al. 2009	
WASP-19 b	0.789	1.069	340	0.0163	0.002	0.90	Transit	Hebb et al. 2010	
CoRoT-6 b	8.887	2.960	941	0.0855	0.100	1.05	Transit	Fridlund et al. 2010	
CoRoT-12 b	2.828	0.917	291	0.0402	0.070	1.08	Transit	Gillon et al. 2010	
HAT-P-16 b	2.776	4.193	1333	0.0413	0.036	1.22	Transit	Buchhave et al. 2010	
HD 102956 b	6.495	0.960	305	0.0807	0.037	1.66	Radial Velocity	Johnson et al. 2010	
HAT-P-18 b	5.508	0.197	63	0.0559	0.084	0.77	Transit	Hartman et al. 2011	
HAT-P-19 b	4.009	0.292	93	0.0466	0.067	0.84	Transit	Hartman et al. 2011	
HAT-P-28 b	3.257	0.626	199	0.0434	0.051	1.02	Transit	Buchhave et al. 2011	
KOI-13 b	1.764	9.280	2949	0.0364	0.001	1.72	Transit	Borucki et al. 2011	
WASP-23 b	2.944	0.884	281	0.0376	0.062	0.78	Transit	Triaud et al. 2011	
PSR J1719-1438 b	0.091	1.200	383	0.0044	0.060	1.40	Pulsar Timing	Bailes et al. 2011	
CoRoT-18 b	1.900	3.470	1103	0.0295	0.080	0.95	Transit	Hebrard et al. 2011	
HAT-P-32 b	2.150	0.680	216	0.0340	0.159	1.13	Transit	Hartman et al. 2011	
Kepler-15 b	4.943	0.660	210	0.0571	0.060	1.02	Transit	Endl et al. 2011	
Kepler-17 b	1.486	2.450	779	0.0259	0.011	1.16	Transit	Desert et al. 2011	
HAT-P-20 b	2.875	7.246	2303	0.0361	0.015	0.76	Transit	Bakos et al. 2010	
CoRoT-23 b	3.631	2.800	890	0.0480	0.160	1.14	Transit	Rouan et al. 2012	
CoRoT-19 b	3.897	1.110	353	0.0518	0.047	1.21	Transit	Guenther et al. 2012	
HAT-P-25 b	3.653	0.569	181	0.0466	0.023	1.01	Transit	Quinn et al. 2010	
CoRoT-20 b	9.243	4.300	1367	0.0900	0.590	1.14	Transit	Deleuil et al. 2012	
CoRoT-16 b	5.352	0.535	170	0.0618	0.330	1.10	Transit	Ollivier et al. 2012	
Kepler-45 b	2.455	0.505	160	0.0300	0.110	0.59	Transit	Johnson et al. 2012	
HAT-P-37 b	2.797	1.169	372	0.0379	0.058	0.93	Transit	Bakos et al. 2012	
Pr0211 b	2.146	1.880	598	0.0318	0.011	0.94	Radial Velocity	Quinn et al. 2012	
HAT-P-38 b	4.640	0.267	85	0.0523	0.067	0.89	Transit	Sato et al. 2012	
KELT-1 b	1.218	27.230	8654	0.0247	0.010	1.32	Transit	Siverd et al. 2012	
WTS-1 b	3.352	4.010	1274	0.0470	0.100	1.20	Transit	Cappetta et al. 2012	
WASP-59 b	7.920	0.863	274	0.0697	0.100	0.72	Transit	Hebrard et al. 2013	
HATS-1 b	3.446	1.855	590	0.0444	0.120	0.99	Transit	Penev et al. 2013	
HD 103774 b	5.888	0.367	116	0.0700	0.090	1.33	Radial Velocity	Lo Curto et al. 2013	
WASP-80 b	3.068	0.538	171	0.0344	0.002	0.58	Transit	Triaud et al. 2013	
Kepler-75 b	8.885	10.100	3210	0.0818	0.570	0.91	Transit	Hebrard et al. 2013	
Kepler-63 b	9.434	0.378	120	0.0800	0.450	0.98	Transit	Sanchis-Ojeda et al. 2013	
CoRoT-27 b	3.575	10.390	3302	0.0476	0.065	1.05	Transit	Parviainen et al. 2014	
Kepler-101 b	3.488	0.160	51	0.0474	0.086	1.17	Transit	Rowe et al. 2014	
HIP 91258 b	5.051	1.090	346	0.0600	0.020	0.97	Radial Velocity	Moutou et al. 2014	
HD 285507 b	6.088	0.980	311	0.0600	0.090	0.82	Radial Velocity	Quinn et al. 2014	
HATS-5 b	4.763	0.237	75	0.0542	0.019	0.94	Transit	Zhou et al. 2014	
HAT-P-46 b	4.463	0.493	157	0.0577	0.123	1.28	Transit	Hartman et al. 2014	
HAT-P-44 b	4.301	0.352	112	0.0507	0.044	0.94	Transit	Hartman et al. 2014	
HAT-P-45 b	3.129	0.892	283	0.0452	0.049	1.26	Transit	Hartman et al. 2014	
HATS-4 b	2.517	1.323	420	0.0362	0.013	1.00	Transit	Jordan et al. 2014	
Kepler-423 b	2.684	0.595	189	0.0358	0.019	0.85	Transit	Endl et al. 2014	
Kepler-428 b	3.526	1.270	404	0.0433	0.220	0.87	Transit	Hébrard et al. 2014	
Kepler-426 b	3.218	0.340	108	0.0414	0.180	0.91	Transit	Hébrard et al. 2014	
Kepler-425 b	3.797	0.250	79	0.0464	0.330	0.93	Transit	Hébrard et al. 2014	
Kepler-44 b	3.247	1.000	318	0.0446	0.066	1.12	Transit	Bonomo et al. 2011	
Kepler-435 b	8.600	0.840	267	0.0948	0.114	1.54	Transit	Almenara et al. 2015	
Kepler-433 b	5.334	2.820	896	0.0679	0.119	1.46	Transit	Almenara et al. 2015	
HAT-P-54 b	3.800	0.760	242	0.0412	0.074	0.65	Transit	Bakos et al. 2015	
HD 103720 b	4.556	0.620	197	0.0498	0.086	0.79	Radial Velocity	Moutou et al. 2015	
Kepler-447 b	7.794	1.370	435	0.0769	0.123	1.00	Transit	Lillo-Box et al. 2015	
HAT-P-55 b	3.585	0.582	185	0.0460	0.139	1.01	Transit	Juncher et al. 2015	
CoRoT-29 b	2.851	0.850	270	0.0386	0.082	0.97	Transit	Cabrera et al. 2015	
CoRoT-28 b	5.209	0.484	154	0.0603	0.047	1.01	Transit	Cabrera et al. 2015	
WASP-89 b	3.356	5.900	1875	0.0427	0.193	0.92	Transit	Hellier et al. 2015	
HATS-10 b	3.313	0.526	167	0.0449	0.501	1.10	Transit	Brahm et al. 2015	
HATS-13 b	3.044	0.543	173	0.0406	0.181	0.96	Transit	Mancini et al. 2015	
HATS-14 b	2.767	1.071	340	0.0382	0.142	0.97	Transit	Mancini et al. 2015	
